question,A,B,C,D,correct_answer
The production of rubber tree is better adopted to areas where the climate is_________,A. Warm and humid,B. Warm and dry,C. Cool and moist,D. cool and dry,A
Gulf streams are caused by__________.,A. Cyclones,B. Ocean Pressure,C. Temperature,D. Difference in water level,B
“Rancidity produced in butter can be decreased by adding quinoline to the butter”. This statements shows that _______________?,A. Nothing is impossible,B. Quinoline is an inhibitor,C. Quinoline is a catalyst,D. Quinoline is an activator,B
"In the Composition of the earth, Aluminum is _______________?",A. 27.5%,B. 20.3%,C. 14.5%,D. 8.23%,D
The areas around the North and South poles within the Polar circles is called _____________?,A. The Torrid Zone,B. The Frigid Zone,C. The Temperature Zone,D. The Hardiness Zone,B
The strength of wave action depends on all these EXCEPT:,A. Currents in the sea,B. Wind strength,C. Depth of coastal water,D. Height of waves,A
Bore is caused by______?,A. Rising tide while meeting river currents,B. Friction from prevailing winds,C. Spring tide and strong winds,D. Unequal heating of oceans,A
The final phase of a star’s evolution is determined by the star’s:,A. Age,B. Gravitational pull,C. Density,D. Mass,D
Which of the statements to about the Troposphere is not true?,A. It contains 85-90% of the atmosphere’s mass,B. It contains nearly all the water and oxygen of the atmosphere,C. It is the zone which exhibits changes in condition of weather,D. It is about 350 km thick,D
A canyon is a large form of ________?,A. Dry valley,B. Gorge,C. Pediment,D. Badiand,B
A wind which reverses seasonally is known as_____?,A. Trade,B. Cyclonic,C. Monsoon,D. Polar,C
The Stevenson screen contains all of these EXCEPT:,A. Wet bulb thermometer,B. Maximum thermometer,C. Ordinary thermometer,D. Anemometer,D
Weather describe the condition of ______ at any one time.,A. The earth,B. The land surface,C. The atmosphere,D. The ionosphere,C
Water vapour turns into clouds in the atmosphere when:,A. It rains,B. The temperature rise,C. Dew point is reached,D. Evaporation takes place,C
When a warm air is lifted off the surface in temperature depression it is called ________?,A. An occlusion,B. A cold front,C. An anticyclone,D. A warm front,A
Afternoon rains in the equatorial region are the result of influences _______?,A. Land Breeze,B. Monsoon,C. Frontal,D. Convectional,D
The oldest barrage on the river Indus at Sukkur was built in_____?,A. 1932,B. 1940,C. 1930,D. 1928,A
The largest latitude circle on earth is ________?,A. Arctic circle,B. Tropic of cancer,C. Tropic of Capricorn,D. The Equator,D
The season changes because of the ____________?,A. Moon is revolving round the earth,B. Earth is revolving round its axis,C. Earth is revolving round the sun,D. Planet Mars is attracting the sun,C
The distance of longitude represents how many minutes difference in time?,A. 10 minutes,B. 4 minutes,C. 15 minutes,D. 1 minute,B
What is meant by “Equinox”?,A. The longest day,B. The shortest day,C. The sun-month long day,D. Equal duration of day and night,D
Rainfall related to mountains is:,A. Orographic rainfall,B. Normal rainfall,C. Monsoon rains,D. Cyclonic rainfall,A
What kind of weathering takes place on the valley side above the surface of the glacier?,A. Plucking,B. Abrasion,C. Chemical weathering,D. Frost shattering,D
Quantity of fresh air required for a man is 1000 cubic feet of air for every____________?,A. 5 minutes,B. 10 minutes,C. 15 minutes,D. 20 minutes,D
"Approximately, how many times each day do our heart valves open and close normally?","A. 10,000","B. 1,00,000","C. 1,50,000","D. 2,00,000",B
The ‘stone’ formed in human kidney consist mostly of_____________?,A. Calcium oxalate,B. Sodium acetate,C. Magnesium sulphate,D. Calcium,A
"In eye donation, which one of the following parts of donor’s eye is utilized ?",A. Iris,B. Lens,C. Cornea,D. Retina,C
"According to the definition of 1 KWh, a 100 watt bulb consumes one unit of electricity in____________?",A. 1 hours,B. 5 hours,C. 10 hours,D. 15 hours,C
The amount of energy required by the children of age between one to three years is___________?,A. 300 k Calories,B. 600 k Calories,C. 900 k Calories,D. 1200 k Calories,D
A substance which increases the efficiency of a catalyst is termed as:,A. Promoter,B. Activator,C. Retarder,D. Super catalyst,A
“Each electron in an atom must have its own unique set of quantum numbers” is a statement of_______________?,A. Aufbau principle,B. Pauli exclusion principle,C. Hund’s rule,D. Periodic law,B
Select the arrangement of electromagnetic radiation which starts with the lowest energy and increases to greatest energy?,"A. radio, visible, infrared, ultraviolet, x-ray, gamma ray","B. radio, infrared, visible, x-ray, gamma ray, ultraviolet","C. visible, radio, infrared, ultraviolet, x-ray, gamma ray","D. radio, infrared, visible, ultraviolet, x-ray, gamma ray",D
Which of the following has the largest wavelength?,A. visible light,B. x-rays,C. infrared light,D. ultraviolet radiation,C
Which of the following has the highest energy?,A. gamma rays,B. X-rays,C. Ultra-violet radiation,D. radio waves,A
All of the following are electromagnetic radiations except__________?,A. Red light,B. Sound waves,C. X-Rays,D. Photon,B
Second ionization energy:,A. is always less than first ionization energy,B. is always greater than first ionization energy,C. is equal to the first ionization energy,D. may be greater or less than the first ionization energy depending on the nature of the element,B
Nuclear radiation is emitted by those elements whose:,A. molecules are stable,B. molecules are unstable,C. nuclei are stable,D. nuclei are unstable,D
Color of the glow produced in the discharge tube:,A. depends on the pressure in the discharge tube,B. depends on the metal used as cathode,C. depends on the gas used in the discharge tube,D. does not depend on the nature of the gas used in the discharge tube,C
Covalent network crystals have_____________?,A. higher melting point then molecular crystals,B. lower melting point then molecular crystals,C. discrete molecules linked by Van der waals forces,D. hydrogen bonding,A
The increasing vapor pressure caused by heating a liquid is due to___________?,A. increase inter-molecular interactions,B. increasing potential energy of molecules,C. increasing kinetic energy of molecules,D. decreasing surface tension,C
Rate of evaporation of petrol is greater than that of water at room temperature because:,A. petrol molecules do not have any hydrogen bond,B. petrol is an organic compound,C. water molecules have small size,D. petrol molecules have greater size,A
"Honey contain glucose and fructose along with some other ingredients, it has greater viscosity due to____________?",A. hydrogen bonding,B. irregular shape of the molecules,C. irregular shape of the molecules and strong inter-molecular forces,D. greater molecular size,C
All of the following substances are crystalline except_____________?,A. Ice,B. Diamond,C. Sucrose,D. Plastic,D
Some substances are good conductor of electricity in both the solid and liquid states. These substances are generally______________?,A. ionic substances,B. metallic substances,C. molecular solids,D. covalent network solids,B
An atom is_____________?,A. smallest indivisible particle in an element,B. smallest particle of an element which can undergo a chemical reaction,C. building block of an element,D. always smaller than molecule,B
All of the following statements are incorrect except:,A. Precision and accuracy should go side by side in a scientific work,"B. Scientific work must be precise, accuracy is not essential","C. Scientific work must be accurate, precision is not essential",D. Calculations must be made before any experiment,A
The SI base unit for mass is_____________?,A. Gram,B. Pound,C. Kilogram,D. Ounce,C
Water is a universal solvent for what reactions?,A. Chemical,B. Biochemical,C. Physical,D. Nuclear,B
During a total solar eclipse the rate of Photosynthesis___________?,A. Increase,B. Decrease,C. Remain Constant,D. None of them,B
Oranges are rich source of____________?,A. Carbohydrates,B. Fats,C. Proteins,D. Vitamins,D
Which one is the brightest star in the night sky?,A. Betelgeuse,B. Sirius,C. Rigel,D. Polaris,B
The large dark patches on the Moon’s surface are known as___________?,A. Dark matter,"B. Maria, or seas, even though there is no water on the Moon","C. Maria, or seas, because they are filled with water",D. Moon spots,B
What causes the Moon’s phases?,A. The Sun lights up only one half of the Moon and as the Moon orbits the Earth we can sometimes see the unlit side of the Moon.,B. The Sun lights up only one half of the Moon and as the Sun orbits the Earth we can sometimes see the unlit side of the Moon.,"C. The Earth’s shadow falls on the Moon, blocking the sunlight.","D. The Moon’s shadow falls on the Earth, blocking the sunlight.",A
What are the names of the two stars in the Big Dipper used to locate Polaris?,A. The North Seekers,B. The Pointer Stars,C. The Pointer Sisters,D. None of these,B
The Big Dipper is part of which constellation?,A. Ursa Major,B. Ursa Minor,C. The Great Bear,D. A. and C. above,D
The sun is made up of 99.9% of ________________ and ______________?,A. Oxygen and Hydrogen,B. Hydrogen and Sulfur,C. Carbon and Silicon,D. Hydrogen and Helium,D
Antares is of the largest known ___________?,A. Quasars Star,B. Pulsars Star,C. White Dwarfs Star,D. Red Super-giants Star,D
This in-between phase of stellar nurseries and star formation in stellar evolution is when the gathered dust is still condensing to form a star.,A. Alpha Stage,B. Stellar Genesis,C. Protostar,D. Star of Adam,C
Particle clouds from where stars are formed are known as____________?,A. Stellar nurseries,B. Star clouds,C. Event horizons,D. Singularities,A
PSR J0108-1431 is the closest known ______________ to Earth?,A. Black hole,B. Red giant,C. Quasar,D. Pulsar,D
"When a star becomes a singularity and has zero volume and infinite density, it is called_______________?",A. White dwarf,B. Blue giant,C. Wolf-Raynet star,D. Black hole,D
"You have discovered a new celestial body. It has a thick atmosphere and it produces powerful cosmic winds and, when observed, the clouds obscure the body. You have determined it is this type of star.",A. Wolf-Rayet star,B. Red supergiant,C. Stellar storm,D. Pulsar,A
"In a typical H-R diagram, stars are graphed by these two characteristics:",A. Temperature and luminosity,B. Luminosity and distance,C. Distance and temperature,D. Size and distance,A
A pulsar is a rapidly spinning neutron star which emits:,A. A blinding light when it aligns with the planets,B. Radio waves detectable from Earth,C. A gravitational pull which attracts high energy dust particles,D. Enough energy to power itself indefinitely,B
What sub-class of neutron star is known for its extremely high magnetic field?,A. Magnetar,B. Quasar,C. Magneto,D. Magnetta,A
"When our sun reaches the end of its red giant phase, it will turn into a___________?",A. Supernova,B. White Dwarf,C. Black Hole,D. Neutron Star,B
Insulin drug was discovered by____________?,A. Charles Herbert Best,B. Prof John James Rickard Macleod,C. Sir Frederick Grant Banting,D. Leonard Thompson,C
Most drugs are excreted through_____________?,A. Kidney,B. Skin,C. Gallbladder,D. Lungs,A
A glass chimney stops an oil lamp from smoking because:,A. It increases the supply of oxygen to the flame by convection,B. The heat produced ensures complete,C. Both to these,D. Neither of these,C
The common refrigerant used in domestic Refrigerator is_____________?,A. Neon,B. Spirit,C. Freon/Ammonia,D. Methane,C
The pancreas secrets___________?,A. Insulin,B. Vitamin A,C. Bile juice,D. none of these,A
Wood is the main raw material for the manufacture of ____________?,A. Paint,B. Gun powder,C. Paper,D. Ink,C
The chemical name of Laughing gas is___________?,A. Nitric oxide,B. Nitrogen dioxide,C. Nitrogen pentoxide,D. Nitrous oxide,D
In the manufacture of banaspati ghee the gas used is __________?,A. Helium,B. Hydrogen,C. Oxygen,D. Nitrogen,B
______________ is used for measuring velocity?,A. Speedometer,B. Anemometer,C. Odometer,D. Hygrometer,A
Which Gas is used in the preparation of Soft drinks?,A. Oxygen,B. Carbon dioxide,C. Nitrogen,D. Halogen,B
What does TCM stand for in medical terms?,A. Techno Circuit Module,B. Traditional Chinese medicine,C. Tetra Carbon Mono oxide,D. Tele Communication Management,B
Which is least Conductor of Electricity among the following?,A. Wood,B. Copper,C. Iron,D. Water,A
Sunlight is composed of___________?,A. Three colours,B. six colours,C. seven colours,D. eight colours,C
"If the length of a heater coil is reduced by 10% of its original length, then Power consumed by heater will?",A. Increase over 10%,B. Decrease by 10%,C. Decrease by 0.5%,D. Increase by 0.5%,B
Current stage of star ‘Sun’ is___________?,A. white dwarf,B. red giant,C. yellow dwarf,D. orange dwarf,C
Blood which heart pumps to lungs is__________?,A. deoxygenated blood,B. lymph fluid,C. atria blood,D. oxygenated blood,A
The scientific study of teeth is called ____________?,A. Odontology,B. Ornithology,C. Orthoepy,D. Pedagogy,A
Sodium carbonate is produced by____________?,A. haber process,B. Amonia solvay process,C. decons process,D. lead chamber process,B
The Shortest (smallest) bone in human body is___________?,A. Stapes,B. Tibia,C. Femur,D. Humerus,A
The longest bone in human body is___________?,A. Ulna,B. Tibia,C. Femur,D. Humerus,C
Which of the following cells are Colourless?,A. Red blood cells,B. White blood cells,C. Monocytes,D. platelets,B
Which among the following is the correct sequence of the various layers of the Atmosphere from the Earth’s  surface?,"A. Ionosphere, Mesosphere, Stratosphere, Troposphere","B. Mesosphere, Stratosphere, Ionosphere, Troposphere","C. Troposphere, Stratosphere, Mesosphere, Ionosphere","D. Troposphere, Ionosphere, Stratosphere, Mesosphere",C
How many teeth are there in human mouth?,A. 30,B. 33,C. 32,D. 31,C
What is the breathing rate of human being body?,A. 15-11 minutes,B. 16-20 minutes,C. 25-26 minutes,D. 32-35 minutes,B
Sunlight is a Great Source of ____________?,A. vitamin C,B. vitamin D,C. vitamin E,D. vitamin K,B
