question,A,B,C,D,correct_answer
The arithmetic mean of the scores of a group of students in a test was 52. The brightest 20% of them secured a mean score of 80 and the dullest 25% a mean score of 31. The mean score of remaining 55% is___________?,A. 45,B. 50,C. 51.4 approx.,D. 54.6 approx.,C
"The average age of a husband, wife and their child 3 years ago was 27 years and that of wife and the child 5 years ago was 20 years. The present age of the husband is___________?",A. 35 years,B. 30 years,C. 40 years,D. None of these,C
"A cricketer has a certain average for 10 innings. In the eleventh inning, he scored 108 runs, there by increasing his average by 6 runs. His new average is_____________?",A. 48 runs,B. 52 runs,C. 55 runs,D. 60 runs,A
"The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average of the team?",A. 23 years,B. 24 years,C. 25 years,D. None of these,A
"The average monthly salary of 20 employees in an organisation is Rs. 1500. If the manager’s salary is added, then the average salary increases by Rs. 100. What is the manager’s monthly salary?",A. Rs. 2000,B. Rs. 2400,C. Rs. 3600,D. Rs. 4800,C
The average monthly income of P and Q is Rs. 5050. The average monthly income of Q and R is 6250 and the average monthly income of P and R is Rs. 5200. The monthly income of P is____________?,A. Rs. 3500,B. Rs. 4000,C. Rs. 4050,D. Rs. 5000,B
"The average weight of A, B and C is 45 kg. If the average weight of A and B be 40 kg and that of B and C be 43 kg, then the weight of B is___________?",A. 17 kg,B. 20 kg,C. 26 kg,D. 31 kg,D
"The average age of 15 students of a class is 15 years. Out of these, the average age of 5 students is 14 years and that of the other 9 students is 16 years. The age of the 15th student is____________?",A. 11 years,B. 14 years,C. 15 years,D. 15 2/7 years,A
A pupil’s marks were wrongly entered as 83 instead of 63. Due to the average marks for the class got increased by half. The number of pupils in the class is___________?,A. 10,B. 20,C. 40,D. 73,C
The mean of 50 observations was 36. It was found later that an observation 48 was wrongly taken as 23. The corrected new mean is___________?,A. 35.2,B. 36.1,C. 36.5,D. 39.1,C
"If the arithmetic mean of seventy five numbers is calculated, it is 35. If each number is increased by 5, then mean of new number is___________?",A. 30,B. 40,C. 70,D. 90,B
"In the first 10 overs of a cricket game, the run rate was only 3.2. What should be the rate in the remaining 40 overs to reach the target of 282 runs?",A. 6.25,B. 6.5,C. 6.75,D. 7,A
The average of runs of a cricket player of 10 innings was 32. How many runs must he make in his next innings so as to increase his average of runs by 4?,A. 2,B. 4,C. 70,D. 76,D
The average of 35 students in a class is 16 years. The average age of 21 students is 14. What is the average age of remaining 14 students?,A. 15 years,B. 17 years,C. 18 years,D. 19 years,D
"The average of five numbers is 27. If one number is excluded, the average becomes 25. The excluded number is__________?",A. 25,B. 27,C. 30,D. 35,D
A library has an average of 510 visitors on Sunday and 240 on other days. The average number of visitors per day in a month of 30 days beginning with a Sunday is___________?,A. 250,B. 276,C. 280,D. 285,D
"A family consists of grandparents, parents and three grandchildren. The average age of the grandparents is 67 years, that of the parents is 35 years and that of the grandchildren is 6 years. What is the average age of the family?",A. 28 4/7 years,B. 31 5/7 years,C. 32 1/7 years,D. None of these,B
The average of five consecutive odd numbers is 61. What is the difference between the highest and lowest numbers?,A. 2,B. 5,C. 8,D. Cannot be determined,C
The average of non-zero number and its square is 5 times the number. The number is__________?,A. 9,B. 17,C. 29,D. 295,A
"The average of the two-digit numbers, which remain the same when the digits interchange their positions, is__________?",A. 33,B. 44,C. 55,D. 66,C
The average of first five multiples of 3 is____________?,A. 3,B. 9,C. 12,D. 15,B
Find the average of all the numbers between 6 and 34 which are divisible by 5.,A. 18,B. 20,C. 24,D. 30,B
"The average of 20 numbers is zero. Of them, at the most, how many may be greater than zero?",A. 0,B. 1,C. 10,D. 19,D
"Sarfaraz obtained 76, 65, 82, 67 and 85 marks (out of 100) in English, Mathematics, Physics, Chemistry and Biology. What are his average marks?",A. 65,B. 69,C. 72,D. None of these,D
A total of 3000 chocolates were distributed among 120 boys and girls such that each boy received 2 chocolates and each girl received 3 chocolates. Find the respective number of boys and girls?,"A. 70, 50","B. 60, 60","C. 50, 70","D. 40, 80",B
Rs. 6000 is lent out in two parts. One part is lent at 7% p.a simple interest and the other is lent at 10% p.a simple interest. The total interest at the end of one year was Rs. 450. Find the ratio of the amounts lent at the lower rate and higher rate of interest?,A. 5 : 1,B. 4 : 1,C. 3 : 2,D. 2 : 1,A
A trader purchased two colour televisions for a total of Rs. 35000. He sold one colour television at 30% profit and the other 40% profit. Find the difference in the cost prices of the two televisions if he made an overall profit of 32%?,A. Rs. 21000,B. Rs. 17500,C. Rs. 19000,D. Rs. 24500,A
"The average weight of a group of persons increased from 48 kg to 51 kg, when two persons weighing 78 kg and 93 kg join the group. Find the initial number of members in the group?",A. 21,B. 22,C. 23,D. 24,C
The total marks obtained by a student in Mathematics and Physics is 60 and his score in Chemistry is 20 marks more than that in Physics. Find the average marks scored in Mathematics and Chemistry together.,A. 40,B. 30,C. 25,D. Data inadequate,A
Five years ago the average of the ages of A and B was 40 years and now the average of the ages of B and C is 48 years. What will be the age of the B ten years hence?,A. 55 years,B. 56 years,C. 58 years,D. Data inadequate,D
Aftab bought 65 books for Rs.1150 from one shop and 50 books for Rs.920 from another. What is the average price he paid per book ?,A. Rs.20,B. Rs.18,C. Rs.22,D. Rs.16,B
"The average height of 50 pupils in a class is 150 cm. Five of them whose height is 146 cm, leave the class and five others whose average height is 156 cm, join. The new average height of the pupils of the class (in cm) is __________ .",A. 149,B. 151,C. 152,D. 153,B
"In an exam, Amir scored 64 percent, Masood scored 36 percent and asif 44 percent. The maximum score awarded in the exam is 800. Find the average mark scored by all the three boys?",A. 384,B. 364,C. 324,D. 404,A
"The average mark of the students of a class in a particular exam is 80. If 5 students whose average mark in that exam is 40 are excluded, the average mark of the remaining will be 90. Find the number of students who wrote the exam.",A. 20,B. 15,C. 25,D. 35,C
"A student scored an average of 80 marks in 3 subjects: Physics, Chemistry and Mathematics. If the average marks in Physics and Mathematics is 90 and that in Physics and Chemistry is 70, what are the marks in Physics?",A. 60,B. 64,C. 72,D. 80,D
The average of four positive integers is 69. The highest integer is 93 and the least integer is 39. The difference between the remaining two integers is 28. Which of the following integers is the higher of the remaining two integers?,A. 58,B. 86,C. 49,D. None of these,B
"The present average age of a family of five members is 26 years. If the present age of the youngest member in the family is ten years, then what was the average age of the family at the time of the birth of the youngest member ? (Assume no death occurred in the family since the birth of the youngest).",A. 18 years,B. 14 years,C. 20 years,D. 16 years,C
"The total marks obtained by a student in Physics, Chemistry and Mathematics is 150 more than the marks obtained by him in Physics. What is the average mark obtained by him in Chemistry and Mathematics?",A. 75,B. 150,C. 50,D. None of these,A
The average height of 35 boys in a class was calculated as 180cm. It has later found that the height of one of the boys in the class was wrongly written as 166 cm whereas his actual height was 106 cm. Find the actual average height of the boys in the class (Round off your answer to two decimal places)?,A. 179.29 cm,B. 178.29 cm,C. 179.38 cm,D. 178.39 cm,B
"The average age of seven persons sitting in a row facing east is 28 years. If the average age of the first three persons is 21 years and the average age of the last three persons is 34 years, then find the age of the person sitting in the middle of the row?",A. 30 Years,B. 31 years,C. 26 years,D. 33 years,B
The average runs scored by a batsman in 20 matches is 40. In the next 10 matches the batsman scored an average of 13 runs. Find his average in all the 30 matches?,A. 31,B. 29,C. 28,D. 30,A
"The average weight of a group of boys is 30 kg. After a boy of weight 35 kg joins the group, the average weight of the group goes up by 1 kg. Find the number of boys in the group originally?",A. 4,B. 5,C. 6,D. 7,A
A salt manufacturing company produced a total of 5000 tonnes of salt in January of a particular year. Starting from February its production increased by 100 tonnes every month over the previous months until the end of the year. Find its average monthly production for that year?,A. 6060,B. 7070,C. 5550,D. 4440,C
"The average amount with a group of seven numbers is Rs. 20. If the newly joined member has Rs. 50 with him, what was the average amount with the group before his joining the group?",A. Rs. 25,B. Rs. 18,C. Rs. 15,D. Rs. 22,C
The sum of five numbers is 655. The average of the first two numbers is 85 and the third number is 125. Find the average of the two numbers?,A. 180,B. 170,C. 190,D. 175,A
"Find the average of the series : 312, 162, 132, 142 and 122?",A. 194,B. 174,C. 162,D. 186,B
"The average age of a group of 10 persons was decreased by 3 years when one person, whose age was 42 years, was replaced by a new person. Find the age of the new person?",A. 22,B. 24,C. 12,D. 8,C
"The average of the marks of 12 students in a class is 36. If the marks of each student are doubled, find the new average?",A. 72,B. 45,C. 37,D. 79,A
"The average of 10 numbers is 23. If each number is increased by 4, what will the new average?",A. 22,B. 27,C. 25,D. 29,B
"The average of 35 numbers is 25. If each number is multiplied by 5, find the new average?",A. 125,B. 134,C. 170,D. 98,A
"The average salary of a person for the months of January, February, March and April is Rs.8000 and that for the months February, March, April and May is Rs.8500. If his salary for the month of May is Rs.6500, find his salary for the month of January?",A. 3000,B. 2500,C. 4500,D. 5000,C
The average marks of a class of 30 students is 40 and that of another class of 50 students is 60. Find the average marks of all the students?,A. 50,B. 47.5,C. 59,D. 52.5,D
A batsman makes a score of 64 runs in the 16th innings and thus increased his average by 3. Find his average after the 16th inning?,A. 17,B. 29,C. 18,D. 19,D
The average of 13 numbers is 60. Average of the first 7 of them is 57 and that of the last 7 is 61. Find the 8th number?,A. 46,B. 32,C. 68,D. 51,A
Find the average of the first 20 natural numbers?,A. 10,B. 11.5,C. 12,D. 10.5,D
"The average of 11 results is 50, if the average of first six results is 49 and that of the last six is 52. Find the sixth result?",A. 46,B. 56,C. 34,D. 57,B
The average of five results is 46 and that of the first four is 45. The fifth result is__________?,A. 1,B. 10,C. 12.5,D. 50,D
"Three years ago the average age of a family of six members was 19 years. A boy have been born, the average age of the family is the same today. What is the age of the boy?",A. 1 year,B. 1.5 years,C. 2 years,D. 2.5 years,A
"The average salary per head of the entire staff of an office including the officers and clerks is Rs.90. The average salary of officers is Rs.600 and that of the clerks is Rs.84. If the number of officers is 2, find the number of officers in the office?",A. 1540,B. 960,C. 840,D. 1020,D
"The average weight of 25 persons sitting in a boat had some value. A new person added to them whose weight was 46 kg only. Due to his arrival, the average weight of all the persons decreased by 5 kg. Find the average weight of first 25 persons?",A. 55 kg,B. 62 kg,C. 56 kg,D. None,D
"The average marks in mathematics scored by the students of a school at the public examination were 39. If four of these students who actually scored 5, 12, 15 and 19 marks at the examination had not been sent up, the average marks for the school would have been 44. Find the number of students sent up for examination from the school?",A. 20,B. 25,C. 30,D. 32,B
Nine men went to a hotel. Eight of them spent Rs.3 each over their meals and the ninth spent Rs.2 more than the average expenditure of all the nine. Determine the total money spent by them?,A. Rs.29.25,B. Rs.30.25,C. Rs.32,D. Rs.35,A
"The average age 9 members of a committee are the same as it was 2 years ago, because an old number has been replaced by a younger number. Find how much younger is the new member than the old number?",A. 7 years,B. 11 years,C. 18 years,D. 27 years,C
"The average temperature for Monday, Tuesday, Wednesday and Thursday was 48 degrees and for Tuesday, Wednesday, Thursday and Friday was 46 degrees. If the temperature on Monday was 42 degrees. Find the temperature on Friday?",A. 40 degrees,B. 38 degrees,C. 36 degrees,D. 34 degrees,D
"A man purchased 3 blankets @ Rs.100 each, 5 blankets @ Rs.150 each and two blankets at a certain rate which is now slipped off from his memory. But he remembers that the average price of the blankets was Rs.150. Find the unknown rate of two blankets?",A. Rs.150,B. Rs.225,C. Rs.250,D. None,D
"A building contractor employs 20 male, 15 female and 5 child workers. To a male worker he pays Rs.25 per day, to a female worker Rs.20 per day and a child worker Rs.8 per day. The average wage per day paid by the contractor is__________?",A. Rs.20,B. Rs.21,C. Rs.22,D. Rs.23,B
